"",,19/03/21,,19/03/20,
BARRAGES,CAPACITE,RESERVE,TAUX DE,RESERVE,TAUX DE
"",NORMALE,,REMPLISSAGE,,REMPLISSAGE
"",(Mm3),(Mm3),( % ),(Mm3),( % )
OUED EL MAKHAZINE,"672,9","655,5","97,4","650,1","96,6"
TANGER - MEDITERRANEE,"22,0","19,3","87,5","13,2","60,1"
IBN BATTOUTA,"29,1","29,1","100,0","5,6","19,3"
NEUF AVRIL 1947,"300,0","77,1","25,7","74,2","24,7"
NAKHLA,"4,21","4,21","100,0","4,1","97,9"
MY HASSAN BEN AL MAHDI,"23,4","22,4","95,8","18,2","77,9"
SMIR,"39,0","37,8","97,1","23,1","59,3"
M.B.A. AL KHATTABI,"11,8","8,9","75,1","5,7","48,1"
CHEFCHAOUEN,"12,2","12,2","100,0","12,2","100,0"
ACHARIF AL IDRISSI,"121,65","121,65","100,0","56,0","46,0"
HASSAN II,"392,3","113,1","28,8","118,8","30,3"
Dar Khrofa,"480,3","252,2","52,5",-,-
JOUMOUA,"5,2","0,9","18,2","0,6","11,6"
INJIL,"12,6","1,5","12,0","1,2","9,6"
BARRAGE SUR OUED ZA,"94,9","63,3","66,7","94,9","100,0"
MOHAMED V,"239,5","43,3","18,1","43,5","18,2"
MECHRAA HOMMADI,"8,1","5,9","72,8","6,5","80,5"
TAMALOUT,"50,5","17,5","34,6",-,-
BAB LOUTA,"33,8","33,6","99,2","33,0","97,6"
IDRISS 1 er,"1129,6","853,3","75,5","891,0","78,9"
ALLAL EL FASSI,"63,8","54,9","86,1","55,4","86,8"
SIDI ECHAHED,"152,8","113,2","74,1","122,1","79,9"
SAHLA,"67,4","45,2","67,1","45,4","67,3"
BOUHOUDA,"44,76","44,76","100,0","43,7","97,7"
ASFALOU,"281,7","162,4","57,6","157,1","55,8"
ALWAHDA,"3522,3","2745,8","78,0","2011,4","57,1"
GARDE SEBOU,"40,1","9,7","24,1","39,8","99,2"
EL KENSERA,"216,4","66,4","30,7","106,1","49,0"
MICHLIFEN,"1,54","0,88","57,4","0,9","57,4"
AL HIMER,"14,1","2,3","16,6","2,1","14,9"
S.M.  BEN ABDEELLAH,"974,8","639,0","65,6","659,3","67,6"
TAMESNA,"56,1","34,3","61,2","33,2","59,2"
OUED MELLAH,"37,3","19,7","52,7","17,1","45,7"
BIN EL OUIDANE,"1215,5","389,7","32,1","443,1","36,5"
HASSAN 1er,"236,0","75,2","31,8","64,5","27,3"
SIDI DRISS,"2,4","2,3","92,6","1,4","57,6"
MOULAY YOUSSEF,"142,8","69,6","48,7","46,3","32,4"
TIMINOUTINE,"1,4","1,2","91,6","1,2","91,6"
AHMED AL HANSSALI,"668,2","250,2","37,4","196,3","29,4"
AIT MESSAOUD,"14,3","13,7","95,7","14,1","98,6"
AL MASSIRA,"2657,0","337,7","12,7","417,4","15,7"
IMFOUT,"9,4","5,1","54,0","7,0","74,8"
DAOURAT,"6,8","5,4","79,4","5,1","74,9"
SIDI SAID MAACHOU,"1,1","1,1","100,0","1,1","100,0"
S.M'HAMED BEN SLIMAN JAZOULI,"15,4","8,6","55,5","11,2","72,8"
YAAKOUB MANSOUR,"69,34","39,39","56,8","12,9","18,6"
ABOU EL ABBAS ESSABTI,"24,8","12,4","49,9","11,9","48,1"
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5"
BARRAGE MOULAY ABDERRAHMANE,"64,4","62,0","96,2","50,0","77,6"
DKHILA,"0,2","0,2","79,1","0,1","61,3"
MOULAY ABDALLAH,"90,6","31,9","35,3","17,8","19,6"
AOULOUZ,"89,0","68,1","76,5","50,1","56,3"
ABDELMOUMENE,"198,4","36,9","18,6","21,2","10,7"
MOKHTAR SOUSSI,"39,8","39,8","100,0","17,8","44,7"
IMI EL KHENG,"9,8","9,8","100,0","5,8","59,8"
AHL SOUSS,"4,7","4,6","99,6","3,1","65,8"
YOUSSEF BEN TACHFINE,"298,9","81,3","27,2","40,3","13,5"
MANSOUR EDDAHBI,"445,3","97,0","21,8","158,6","35,6"
SULTAN MOULAY ALI CHERIF,"280,2","164,5","58,7","162,8","58,1"
HASSAN ADDAKHIL,"312,8","58,1","18,6","85,0","27,2"
SAQUIAT ALHAMRA,-,-,-,-,-
TWUIZGUI RAMZ,"15,0","0,0","0,0","0,0","0,0"
ENSEMBLE DES BARRAGES,"16122,6","8193,7","50,8","7195,4","46,1"
