"",,01/03/22,,01/03/21,
BARRAGES,CAPACITE,RESERVE,TAUX DE,RESERVE,TAUX DE
"",NORMALE,,REMPLISSAGE,,REMPLISSAGE
"",(Mm3),(Mm3),( % ),(Mm3),( % )
OUED EL MAKHAZINE,"672,9","441,9","65,7","667,8","99,2"
TANGER - MEDITERRANEE,"22,0","17,6","79,7","15,0","68,1"
IBN BATTOUTA,"29,1","7,7","26,4","29,1","100,0"
NEUF AVRIL 1947,"300,0","49,5","16,5","75,1","25,0"
NAKHLA,"4,21","2,81","66,8","4,2","100,0"
MY HASSAN BEN AL MAHDI,"23,4","16,1","68,9","17,9","76,6"
SMIR,"39,0","33,9","87,2","36,1","92,7"
M.B.A. AL KHATTABI,"11,8","6,7","57,2","8,8","74,2"
CHEFCHAOUEN,"12,2","10,9","89,1","12,2","100,0"
ACHARIF AL IDRISSI,"121,65","99,54","81,8","121,7","100,0"
HASSAN II,"392,3","35,1","9,0","112,7","28,7"
Dar Khrofa,"480,3","181,4","37,8","249,4","51,9"
JOUMOUA,"5,2","0,7","14,5","0,7","14,3"
INJIL,"12,6","0,4","3,1","1,5","11,8"
BARRAGE SUR OUED ZA,"94,9","12,7","13,4","61,6","64,9"
MOHAMED V,"239,5","12,9","5,4","46,2","19,3"
MECHRAA HOMMADI,"8,1","2,0","25,2","6,4","79,6"
TAMALOUT,"50,5","7,9","15,7",-,-
BAB LOUTA,"33,8","25,6","75,6","33,5","99,1"
IDRISS 1 er,"1129,6","482,0","42,7","816,3","72,3"
ALLAL EL FASSI,"63,8","58,1","91,1","59,1","92,7"
SIDI ECHAHED,"152,8","97,1","63,5","112,3","73,5"
SAHLA,"67,4","29,5","43,8","42,4","62,8"
BOUHOUDA,"44,76","40,42","90,3","44,8","100,0"
ASFALOU,"281,7","146,3","52,0","162,2","57,6"
ALWAHDA,"3522,3","1965,1","55,8","2765,0","78,5"
GARDE SEBOU,"40,1","39,0","97,3","9,7","24,1"
EL KENSERA,"216,4","54,2","25,0","63,9","29,5"
MICHLIFEN,"1,54","0,88","57,4","0,9","57,4"
AL HIMER,"14,1","1,7","12,4","2,2","15,3"
S.M.  BEN ABDEELLAH,"974,8","407,1","41,8","618,5","63,4"
TAMESNA,"56,1","23,8","42,5","33,2","59,2"
OUED MELLAH,"37,3","14,1","37,7","18,7","50,1"
BIN EL OUIDANE,"1215,5","169,5","13,9","319,1","26,3"
HASSAN 1er,"236,0","32,1","13,6","61,5","26,0"
SIDI DRISS,"2,4","2,2","88,5","2,4","100,0"
MOULAY YOUSSEF,"142,8","28,0","19,6","52,4","36,7"
TIMINOUTINE,"1,4","1,2","92,1","0,9","69,0"
AHMED AL HANSSALI,"668,2","89,0","13,3","207,9","31,1"
AIT MESSAOUD,"14,3","9,8","68,3","12,0","84,0"
AL MASSIRA,"2657,0","166,4","6,3","328,4","12,4"
IMFOUT,"9,4","2,7","29,0","5,4","57,7"
DAOURAT,"6,8","4,8","70,9","4,8","70,2"
SIDI SAID MAACHOU,"1,1","1,1","100,0","1,1","100,0"
S.M'HAMED BEN SLIMAN JAZOULI,"15,4","5,5","35,4","8,5","55,2"
YAAKOUB MANSOUR,"69,34","25,47","36,7","31,6","45,5"
ABOU EL ABBAS ESSABTI,"24,8","12,1","48,5","9,2","37,2"
LALLA TAKERKOUST,"53,3","3,2","6,1","7,2","13,5"
BARRAGE MOULAY ABDERRAHMANE,"64,4","41,2","64,0","60,9","94,6"
DKHILA,"0,2","0,1","58,0","0,2","87,5"
MOULAY ABDALLAH,"90,6","13,9","15,4","31,7","35,0"
AOULOUZ,"89,0","27,8","31,2","64,7","72,8"
ABDELMOUMENE,"198,4","7,4","3,7","35,2","17,7"
MOKHTAR SOUSSI,"39,8","9,7","24,4","34,5","86,7"
IMI EL KHENG,"9,8","5,5","56,3","9,8","100,0"
AHL SOUSS,"4,7","3,1","66,1","4,6","99,8"
YOUSSEF BEN TACHFINE,"298,9","48,7","16,3","77,8","26,0"
MANSOUR EDDAHBI,"445,3","102,6","23,0","104,1","23,4"
SULTAN MOULAY ALI CHERIF,"280,2","93,2","33,3","160,7","57,3"
HASSAN ADDAKHIL,"312,8","52,4","16,8","53,1","17,0"
SAQUIAT ALHAMRA,-,-,-,-,-
TWUIZGUI RAMZ,"15,0","0,0","0,0","0,0","0,0"
ENSEMBLE DES BARRAGES,"16122,6","5283,4","32,8","7938,8","49,4"
